Hash,Message,Parent Hashes,Is Merge Commit,Modified Files
8ba1e91bd1c3f5df62371ae3a0b96f25aeba93b0,- changed variable name,['7ee189d2c6cb10add43d5b0dba4e2f72656683c6'],N,['tools\\update_nfx.sh']
bbabf0b1a410ebdaa85e94dcf87d5764689f3f6e,sell_stoploss: rework.,['8f1ef3e867e77617fbb6659535593a3497eb88a2'],N,['NostalgiaForInfinityX.py']
48ed8e5cb4890191c5e76a05d0174414b654b718,sell_stoploss: rework.,['80cfe0fb4a7637271dec1c0576637847e996958d'],N,['NostalgiaForInfinityX.py']
0a43440b1a6f5ca43925865d2645a1ddcc448dd6,sell_stoploss: rework.,['2261bd19b75e41cf2c70cfae09561d8908dea58d'],N,['NostalgiaForInfinityX.py']
4b55043866dcb3a04477b3343d9c503f7e5f8237,sell_stoploss: rework.,['ab1b57f0f42b1b8d2df6b57b2cc40ae00e5bea4b'],N,['NostalgiaForInfinityX.py']
be18106939ce23153b424fb5c63c3b2042b87312,sell_stoploss: rework.,['dafe1cba0a99da1f08eed2980cf3c4346c1a3d9e'],N,['NostalgiaForInfinityX.py']
950e2a75eafcb7371430e971b1be2ce3fc3a7077,sell_pump_stoploss: rework.,['c48b6719e4f509c467497eab057694c4693fdec1'],N,['NostalgiaForInfinityX.py']
b8d8221396dc459acc958b12523a848ab8fb5019,sell_pump_stoploss: rework.,['46de383172423fb6f5b03ff61ddd4a2f9fc0d5d8'],N,['NostalgiaForInfinityX.py']
de5a27c4f1d14edbbac67d1365c749416e75afd0,sell_pump_stoploss: rework.,['cdf74083f59aaeee40f5b88eeac69372f9f50408'],N,['NostalgiaForInfinityX.py']
d77f8f8c876884e6784e745378d7f39f8542d7af,fix dd deviation for binance december,['f375927a748bb73e370fa345151eccbbfb357553'],N,['tests\\backtests\\test_winrate_and_drawdown.py']
3b98b7c9df0a9e82945a81329b8ea3734355a31b,merge branch 'runargull-patch-1',"['4962c2b448e3f812824f2ce081f93a4bac5649df', 'fae7c93b62a43201cf333e5164621ad6a2149bc3']",Y,[]
73b8a56f537ff2c4c0f09bb0d0653dfcb33be95b,remove last change.,['be4d92fe2d7445cb3c43c16cfde0bea77de982ad'],N,['NostalgiaForInfinityX.py']
21692dff42296e3a9f627d84fc95da1a84e4a3c7,fix filename for ci backtests.,['213bd8f7a2fe20c544a6e0fdec41b7a144e34073'],N,['tests\\backtests\\helpers.py']
6dd90b5f7ecbb5c8f626dcc130503542231355ad,fix filename for ci backtests.,['21692dff42296e3a9f627d84fc95da1a84e4a3c7'],N,['tests\\backtests\\helpers.py']
8c31fe11babec57d484bb97192e61b248c8e9446,fix buy slippage message.,['57593e318ad6d2a7fb97659762112b059d31b9c0'],N,['NostalgiaForInfinityX.py']
c8ec5870ef357ec487d2ac11204e936259c743da,okx links to march the recent domain name change.,['282eebe4029db57abca7b88ebb327f6915fa0026'],N,"['NostalgiaForInfinityX.py', 'README.md']"
